Date,USDZAR
19/08/2019,15.29
20/08/2019,15.45
21/08/2019,15.35
22/08/2019,15.18
23/08/2019,15.21
26/08/2019,15.35
27/08/2019,15.27
28/08/2019,15.32
29/08/2019,15.40
30/08/2019,15.31
02/09/2019,15.22
03/09/2019,15.23
04/09/2019,15.10
05/09/2019,14.79
06/09/2019,14.86
09/09/2019,14.79
10/09/2019,14.76
08/10/2019,15.17
10/10/2019,15.20
11/10/2019,15.02
14/10/2019,14.77
15/10/2019,14.80
16/10/2019,14.87
17/10/2019,14.93
18/10/2019,14.82
21/10/2019,14.75
22/10/2019,14.75
23/10/2019,14.58
24/10/2019,14.64
25/10/2019,14.68
28/10/2019,14.62
29/10/2019,14.57
30/10/2019,14.62
31/10/2019,14.97
01/11/2019,15.09
04/11/2019,14.84
05/11/2019,14.77
06/11/2019,14.75
07/11/2019,14.80
08/11/2019,14.72
11/11/2019,14.85
12/11/2019,14.88
13/11/2019,14.93
14/11/2019,14.90
15/11/2019,14.82
18/11/2019,14.71
19/11/2019,14.81
20/11/2019,14.76
21/11/2019,14.78
22/11/2019,14.67
25/11/2019,14.70
26/11/2019,14.76
27/11/2019,14.78
28/11/2019,14.76
29/11/2019,14.70
02/12/2019,14.65
03/12/2019,14.55
04/12/2019,14.63
05/12/2019,14.58
06/12/2019,14.62
09/12/2019,14.61
10/12/2019,14.67
11/12/2019,14.77
12/12/2019,14.68
13/12/2019,14.41
16/12/2019,14.52
17/12/2019,14.38
18/12/2019,14.39
19/12/2019,14.29
20/12/2019,14.21
23/12/2019,14.26
24/12/2019,14.20
25/12/2019,14.15
26/12/2019,14.15
27/12/2019,14.13
30/12/2019,14.05
31/12/2019,14.10
01/01/2020,14.00
02/01/2020,14.00
03/01/2020,14.08
06/01/2020,14.32
07/01/2020,14.20
08/01/2020,14.36
09/01/2020,14.16
10/01/2020,14.21
13/01/2020,14.33
14/01/2020,14.38
15/01/2020,14.40
16/01/2020,14.38
17/01/2020,14.40
20/01/2020,14.48
21/01/2020,14.49
22/01/2020,14.48
23/01/2020,14.33
24/01/2020,14.37
27/01/2020,14.45
28/01/2020,14.58
29/01/2020,14.54
30/01/2020,14.59
31/01/2020,14.74
03/02/2020,15.00
04/02/2020,14.87
05/02/2020,14.77
06/02/2020,14.74
07/02/2020,14.90
10/02/2020,15.07
11/02/2020,14.95
12/02/2020,14.79
13/02/2020,14.87
14/02/2020,14.90
17/02/2020,14.88
18/02/2020,14.98
19/02/2020,15.00
20/02/2020,14.98
21/02/2020,15.11
24/02/2020,15.06
25/02/2020,15.11
26/02/2020,15.21
27/02/2020,15.27
28/02/2020,15.47
02/03/2020,15.76
03/03/2020,15.39
04/03/2020,15.40
05/03/2020,15.25
06/03/2020,15.59
09/03/2020,16.06
10/03/2020,16.05
11/03/2020,15.95
12/03/2020,16.25
13/03/2020,16.56
16/03/2020,16.25
17/03/2020,16.60
18/03/2020,16.52
19/03/2020,17.09
20/03/2020,17.34
23/03/2020,17.67
24/03/2020,17.76
25/03/2020,17.50
26/03/2020,17.28
27/03/2020,17.30
30/03/2020,17.90
31/03/2020,17.92
01/04/2020,17.74
02/04/2020,18.13
